Year	6	7	8	9	10	11	12	13	14	15	16	17	18	19+
1992	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1993	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1994	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1995	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1996	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1997	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1998	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1999	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2001	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2002	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2003	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2004	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2005	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2006	0	0	0	0	0	23	93	1083	323	1563	3628	2514	3756	29704
2007	0	0	0	9	18	25	154	444	1642	2302	3021	3394	3156	12684
2008	0	0	0	0	0	28	146	115	143	214	594	752	753	13258
2009	0	0	0	0	0	9	1314	294	471	889	999	869	1150	2981
2010	0	0	0	0	0	0	0	130	336	254	466	467	508	11510
2011	0	0	0	0	0	0	223	83	83	168	136	166	136	13182
2012	0	0	0	0	0	0	0	280	98	90	164	121	136	9646
2013	0	0	0	0	0	0	0	0	373	120	99	165	112	8022
